,DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Hotspots(#),Hotspots(Positions),SurveyedGoals(#),SurveyedGoals(Positions),index
index,0,,2,Tx3y1;Tx1y3,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y1;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx3y0;Tx3y1;Tx1y0;Tx0y4;Tx2y0;Tx1y3;Tx1y4,33
index,0,,2,Tx1y3;Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y0;Tx4y1;Tx1y3;Tx4y2,33
index,0,,1,Tx3y1,16,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y0;Tx2y4;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4,34
index,0,,1,Tx3y1,15,Tx0y0;Tx4y1;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4;Tx1y1;Tx4y0,34
index,0,,1,Tx1y3,6,Tx0y3;Tx0y4;Tx1y2;Tx2y3;Tx1y3;Tx1y4,35
index,0,,1,Tx1y3,15,Tx0y3;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,35
index,0,,2,Tx3y1;Tx1y3,16,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx2y0;Tx1y3;Tx1y4,36
index,0,,2,Tx3y1;Tx1y3,15,Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx3y3;Tx3y0;Tx1y2;Tx2y0;Tx1y3;Tx1y4;Tx1y1,36
index,0,,1,Tx1y3,9,Tx0y3;Tx0y2;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4,37
index,0,,1,Tx1y3,8,Tx0y3;Tx0y2;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx1y3,37
index,0,,2,Tx3y1;Tx1y3,14,Tx0y3;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y3;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y3;Tx1y4,38
index,0,,1,Tx1y3,3,Tx3y3;Tx2y3;Tx1y3,38
index,0,,2,Tx1y3;Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx1y2;Tx2y0;Tx4y2;Tx1y3,39
index,0,,1,Tx1y3,15,Tx0y2;Tx0y1;Tx2y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx0y3;Tx3y3;Tx2y4;Tx1y0;Tx1y2;Tx1y3;Tx1y4;Tx1y1,39
index,0,,2,Tx3y1;Tx1y3,17,Tx0y2;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx1y3;Tx1y1,40
index,0,,2,Tx3y1;Tx1y3,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y3;Tx1y3;Tx1y4;Tx4y0,40
index,0,,1,Tx1y3,16,Tx0y3;Tx0y2;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4,41
index,0,,2,Tx1y3;Tx3y1,17,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx1y2;Tx3y0;Tx2y1;Tx1y0;Tx2y0;Tx1y3;Tx1y4;Tx1y1,41
index,0,,0,,16,Tx0y2;Tx0y1;Tx4y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx1y2;Tx4y1;Tx3y3;Tx3y0;Tx1y0;Tx2y0;Tx4y2;Tx1y1;Tx4y0,42
index,0,,0,,17,Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx3y3;Tx3y0;Tx2y1;Tx1y0;Tx1y2;Tx2y0;Tx4y3;Tx4y2;Tx1y1;Tx4y0,42
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx3y0;Tx2y1;Tx0y4;Tx2y0;Tx4y3,43
index,0,,1,Tx3y1,8,Tx4y1;Tx4y0;Tx3y1;Tx3y0;Tx2y1;Tx4y3;Tx4y2;Tx1y1,43
index,0,,2,Tx3y1;Tx1y3,18,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y1,44
index,0,,2,Tx3y1;Tx1y3,18,Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx3y0;Tx2y1;Tx1y0;Tx1y2;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y1;Tx4y0,44
index,0,,2,Tx1y3;Tx3y1,17,Tx0y0;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx3y3;Tx3y0;Tx1y0;Tx1y2;Tx2y0;Tx1y3;Tx1y4;Tx1y1,45
index,0,,1,Tx3y1,14,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx3y3;Tx3y0;Tx1y0;Tx1y2;Tx4y3;Tx1y1,45
index,0,,0,,5,Tx1y0;Tx0y2;Tx0y1;Tx1y2;Tx1y1,46
index,0,,1,Tx3y1,16,Tx0y2;Tx0y1;Tx4y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx3y1;Tx2y1;Tx2y0;Tx1y3;Tx1y1,46
index,0,,1,Tx1y3,6,Tx0y3;Tx2y3;Tx0y4;Tx1y2;Tx1y3;Tx1y4,47
index,0,,2,Tx1y3;Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx4y3;Tx1y3;Tx1y4,47
index,0,,0,,5,Tx0y3;Tx0y2;Tx1y2;Tx2y2;Tx0y4,48
index,0,,2,Tx1y3;Tx3y1,16,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx4y3;Tx1y3,48
index,0,,2,Tx1y3;Tx3y1,18,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y1;Tx1y2;Tx0y4;Tx2y0;Tx1y3;Tx4y2,49
index,0,,1,Tx1y3,13,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx0y4;Tx4y3;Tx4y2,49
index,0,,1,Tx3y1,12,Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx1y2;Tx3y0;Tx1y0;Tx2y0;Tx4y2;Tx1y1,50
index,0,,2,Tx1y3;Tx3y1,16,Tx0y0;Tx0y2;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx0y3;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx1y2;Tx2y0;Tx1y3,50
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx4y3;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y4,51
index,0,,2,Tx1y3;Tx3y1,18,Tx0y2;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx1y4;Tx2y1;Tx1y0;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y1,51
index,0,,2,Tx3y1;Tx1y3,14,Tx1y0;Tx0y3;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx1y3;Tx1y4;Tx1y1,52
index,0,,0,,3,Tx0y2;Tx2y2;Tx1y2,52
index,0,,1,Tx3y1,14,Tx0y3;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx1y0;Tx1y3;Tx1y4;Tx1y1,53
index,0,,1,Tx3y1,16,Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx1y4;Tx1y1,53
index,0,,1,Tx3y1,15,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx4y1;Tx4y2;Tx1y4,54
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx4y1;Tx4y0;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx2y0;Tx4y3;Tx1y3;Tx1y4;Tx4y2,54
index,0,,1,Tx3y1,16,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx1y2;Tx3y0;Tx2y4;Tx3y1;Tx1y0;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y4;Tx1y1,55
index,0,,3,Tx1y2;Tx3y1;Tx1y3,13,Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx1y2;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx1y3;Tx1y1,55
index,0,,1,Tx1y2,13,Tx0y0;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx1y2;Tx3y0;Tx2y1;Tx1y0;Tx2y0;Tx1y1,56
index,0,,1,Tx1y3,10,Tx0y3;Tx0y2;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx1y3;Tx1y4,56
index,0,,1,Tx1y3,12,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y2;Tx3y3;Tx2y1;Tx1y2;Tx1y3;Tx1y4,57
index,0,,1,Tx1y3,13,Tx0y3;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx2y4;Tx2y1;Tx0y4;Tx4y3;Tx1y4,57
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx2y4;Tx0y1;Tx4y1;Tx2y2;Tx3y1;Tx3y4;Tx1y2;Tx3y0;Tx1y4;Tx1y0;Tx2y1;Tx0y4;Tx2y0;Tx1y3;Tx4y0,58
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx3y1;Tx3y4;Tx1y3;Tx3y0;Tx2y4;Tx1y2;Tx2y1;Tx2y0;Tx4y2;Tx1y4;Tx1y1;Tx2y2,58
index,0,,1,Tx3y1,15,Tx4y1;Tx4y0;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y4,59
index,0,,1,Tx3y1,15,Tx0y0;Tx4y1;Tx4y3;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx4y0;Tx4y4;Tx2y0;Tx4y2;Tx1y4;Tx1y1,59
index,0,,1,Tx3y1,6,Tx2y1;Tx4y1;Tx4y0;Tx3y1;Tx2y0;Tx3y0,60
index,0,,2,Tx3y1;Tx1y3,17,Tx0y2;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx0y3;Tx1y2;Tx4y1;Tx3y3;Tx3y0;Tx2y1;Tx2y0;Tx1y3;Tx1y4;Tx1y1;Tx4y0,60
index,0,,2,Tx1y3;Tx3y1,16,Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx0y3;Tx1y2;Tx3y0;Tx2y0;Tx1y0;Tx2y1;Tx4y2;Tx1y3;Tx1y1,61
index,0,,1,Tx3y1,6,Tx2y1;Tx4y1;Tx4y0;Tx3y1;Tx2y0;Tx3y0,61
index,0,,1,Tx1y3,13,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx1y3;Tx3y3;Tx1y0;Tx4y2;Tx1y1,62
index,0,,1,Tx1y3,10,Tx0y3;Tx0y2;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx4y2;Tx1y3;Tx1y4,62
index,0,,1,Tx1y3,9,Tx0y3;Tx0y2;Tx0y1;Tx2y2;Tx3y4;Tx1y2;Tx2y4;Tx1y3;Tx1y4,63
index,0,,2,Tx1y3;Tx3y1,17,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx4y0;Tx2y1;Tx2y2;Tx3y1;Tx3y4;Tx3y0;Tx2y4;Tx1y2;Tx2y0;Tx4y2;Tx1y3;Tx1y4;Tx1y1,63
index,0,,1,Tx1y3,9,Tx0y3;Tx0y2;Tx2y2;Tx3y4;Tx1y2;Tx2y4;Tx1y3;Tx1y4;Tx1y1,64
index,0,,1,Tx1y3,6,Tx2y4;Tx0y3;Tx3y4;Tx1y2;Tx1y3;Tx1y4,64
