,Anomalies(#),Blockade(#),DeepSurveyedGoals(#),DeepSurveyedGoals(Positions),Goals(#),Hotspots(Positions),RemoraAttacks(#),SurveyedGoals(#),SurveyedGoals(Positions),Time,index
17,27,11,2,Tx3y1;Tx1y3,17,Tx1y3;Tx3y1,16,15,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y3;Tx1y4;Tx3y0,323.0,21
18,28,11,2,Tx3y1;Tx1y3,18,Tx1y3;Tx3y1,17,16,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx4y1;Tx1y3;Tx1y4;Tx3y0,311.0,21
19,29,11,2,Tx3y1;Tx1y3,19,Tx1y3;Tx3y1,18,17,Tx0y3;Tx0y2;Tx0y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx1y3;Tx1y4;Tx3y0,295.0,21
20,29,11,2,Tx3y1;Tx1y3,20,Tx1y3;Tx3y1,18,18,Tx0y3;Tx0y2;Tx0y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx1y3;Tx1y4;Tx3y0,284.0,21
21,29,11,2,Tx3y1;Tx1y3,21,Tx1y3;Tx3y1,18,19,Tx0y3;Tx0y2;Tx0y1;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx3y0,273.0,21
22,29,11,2,Tx3y1;Tx1y3,22,Tx1y3;Tx3y1,18,20,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx3y0,264.0,21
23,32,12,2,Tx3y1;Tx1y3,23,Tx1y3;Tx3y1,20,21,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx3y0,220.0,21
24,34,13,2,Tx3y1;Tx1y3,24,Tx1y3;Tx3y1,21,22,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,188.0,21
25,36,14,2,Tx3y1;Tx1y3,25,Tx1y3;Tx3y1,22,23,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,163.0,21
26,37,14,2,Tx3y1;Tx1y3,26,Tx1y3;Tx3y1,23,24,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,142.0,21
27,40,16,2,Tx3y1;Tx1y3,27,Tx1y3;Tx3y1,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx3y0,106.0,21
0,0,0,0,,0,,0,0,,599.0,22
1,0,0,0,,1,,0,1,Tx0y2,592.0,22
2,1,0,0,,2,,1,2,Tx0y2;Tx1y2,582.0,22
3,2,1,0,,3,,1,3,Tx0y3;Tx0y2;Tx1y2,567.0,22
4,4,2,0,,4,Tx1y3,2,4,Tx0y3;Tx0y2;Tx1y2;Tx1y3,552.0,22
5,6,2,1,Tx1y3,5,Tx1y3,4,4,Tx0y3;Tx0y2;Tx1y2;Tx1y3,536.0,22
6,8,3,1,Tx1y3,6,Tx1y3,5,5,Tx0y3;Tx0y2;Tx1y2;Tx1y3;Tx1y4,520.0,22
7,9,3,1,Tx1y3,7,Tx1y3,6,6,Tx0y3;Tx0y2;Tx2y3;Tx1y2;Tx1y3;Tx1y4,508.0,22
8,9,3,1,Tx1y3,8,Tx1y3,6,7,Tx0y3;Tx0y2;Tx2y3;Tx1y2;Tx3y3;Tx1y3;Tx1y4,500.0,22
9,12,5,1,Tx1y3,9,Tx1y3,7,8,Tx0y3;Tx0y2;Tx2y3;Tx1y2;Tx3y3;Tx2y4;Tx1y3;Tx1y4,478.0,22
10,12,5,1,Tx1y3,10,Tx1y3,7,9,Tx0y3;Tx0y2;Tx2y3;Tx3y4;Tx1y2;Tx3y3;Tx2y4;Tx1y3;Tx1y4,466.0,22
11,15,6,1,Tx1y3,11,Tx1y3,9,10,Tx0y3;Tx0y2;Tx2y3;Tx3y4;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx1y3;Tx1y4,441.0,22
12,18,8,1,Tx1y3,12,Tx1y3,10,11,Tx0y3;Tx0y2;Tx2y3;Tx3y4;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx3y2;Tx1y3;Tx1y4,416.0,22
13,20,9,1,Tx1y3,13,Tx1y3,11,12,Tx0y3;Tx0y2;Tx2y3;Tx3y4;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx3y2;Tx4y3;Tx1y3;Tx1y4,402.0,22
14,20,9,1,Tx1y3,14,Tx1y3;Tx3y1,11,13,Tx0y3;Tx0y2;Tx2y3;Tx3y1;Tx3y4;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx3y2;Tx4y3;Tx1y3;Tx1y4,389.0,22
15,22,9,2,Tx3y1;Tx1y3,15,Tx1y3;Tx3y1,13,13,Tx0y3;Tx0y2;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4,375.0,22
16,22,9,2,Tx3y1;Tx1y3,16,Tx1y3;Tx3y1,13,14,Tx0y3;Tx0y2;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4,366.0,22
17,23,9,2,Tx3y1;Tx1y3,17,Tx1y3;Tx3y1,14,15,Tx0y3;Tx0y2;Tx4y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4,355.0,22
18,24,9,2,Tx3y1;Tx1y3,18,Tx1y3;Tx3y1,15,16,Tx0y3;Tx0y2;Tx4y1;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4,342.0,22
19,25,9,2,Tx3y1;Tx1y3,19,Tx1y3;Tx3y1,16,17,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx4y3;Tx1y3;Tx1y4,326.0,22
20,25,9,2,Tx3y1;Tx1y3,20,Tx1y3;Tx3y1,16,18,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx2y0;Tx4y3;Tx1y3;Tx1y4,316.0,22
21,27,10,2,Tx3y1;Tx1y3,21,Tx3y1;Tx1y3,17,19,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,297.0,22
22,30,12,2,Tx3y1;Tx1y3,22,Tx3y1;Tx1y3,18,20,Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,264.0,22
23,30,12,2,Tx3y1;Tx1y3,23,Tx3y1;Tx1y3,18,21,Tx0y0;Tx0y3;Tx0y2;Tx4y1;Tx4y0;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4,255.0,22
24,34,15,2,Tx3y1;Tx1y3,24,Tx3y1;Tx1y3,19,22,Tx0y0;Tx0y3;Tx0y2;Tx4y1;Tx2y1;Tx2y3;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,229.0,22
25,35,15,2,Tx3y1;Tx1y3,25,Tx3y1;Tx1y3,20,23,Tx0y0;Tx0y3;Tx0y2;Tx4y1;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,217.0,22
26,38,17,2,Tx3y1;Tx1y3,26,Tx3y1;Tx1y3,21,24,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,183.0,22
27,40,18,2,Tx3y1;Tx1y3,27,Tx1y3;Tx3y1,22,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx2y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx1y0;Tx0y4;Tx4y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,157.0,22
0,0,0,0,,0,,0,0,,599.0,23
1,0,0,0,,1,,0,1,Tx0y3,592.0,23
2,2,1,0,,2,,1,2,Tx0y3;Tx0y4,579.0,23
3,3,2,0,,3,Tx1y3,1,3,Tx0y3;Tx0y4;Tx1y3,567.0,23
4,6,2,1,Tx1y3,4,Tx1y3,4,3,Tx0y3;Tx0y4;Tx1y3,537.0,23
5,7,2,1,Tx1y3,5,Tx1y3,5,4,Tx0y3;Tx2y3;Tx0y4;Tx1y3,526.0,23
6,8,2,1,Tx1y3,6,Tx1y3,6,5,Tx0y3;Tx2y3;Tx0y4;Tx1y2;Tx1y3,514.0,23
7,8,2,1,Tx1y3,7,Tx1y3,6,6,Tx0y3;Tx2y3;Tx2y2;Tx0y4;Tx1y2;Tx1y3,505.0,23
8,10,3,1,Tx1y3,8,Tx1y3,7,7,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx0y4;Tx1y3;Tx1y1,486.0,23
9,12,4,1,Tx1y3,9,Tx1y3,8,8,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx0y4;Tx1y3;Tx1y1,460.0,23
10,15,6,1,Tx1y3,10,Tx1y3,9,9,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx1y3;Tx1y1,437.0,23
11,16,6,1,Tx1y3,11,Tx1y3,10,10,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx1y3;Tx1y1,427.0,23
12,19,8,1,Tx1y3,12,Tx1y3,11,11,Tx0y3;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx1y3;Tx1y1;Tx3y4,400.0,23
13,22,9,1,Tx1y3,13,Tx1y3,13,12,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx1y3;Tx1y1,381.0,23
14,22,9,1,Tx1y3,14,Tx1y3;Tx3y1,13,13,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx3y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,372.0,23
15,23,9,2,Tx3y1;Tx1y3,15,Tx1y3;Tx3y1,14,13,Tx0y3;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx3y1;Tx2y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,356.0,23
16,23,9,2,Tx3y1;Tx1y3,16,Tx3y1;Tx1y3,14,14,Tx0y3;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,345.0,23
17,24,9,2,Tx3y1;Tx1y3,17,Tx3y1;Tx1y3,15,15,Tx0y3;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx3y4;Tx0y4;Tx4y1;Tx1y3;Tx1y1,334.0,23
18,25,9,2,Tx3y1;Tx1y3,18,Tx3y1;Tx1y3,16,16,Tx0y3;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1,321.0,23
19,26,9,2,Tx3y1;Tx1y3,19,Tx3y1;Tx1y3,17,17,Tx0y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1,308.0,23
20,26,9,2,Tx3y1;Tx1y3,20,Tx3y1;Tx1y3,17,18,Tx0y3;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1,296.0,23
21,27,9,2,Tx3y1;Tx1y3,21,Tx3y1;Tx1y3,18,19,Tx0y3;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,283.0,23
22,28,10,2,Tx3y1;Tx1y3,22,Tx3y1;Tx1y3,18,20,Tx0y3;Tx4y3;Tx4y0;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,260.0,23
23,30,11,2,Tx3y1;Tx1y3,23,Tx3y1;Tx1y3,19,21,Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,242.0,23
24,34,13,2,Tx3y1;Tx1y3,24,Tx3y1;Tx1y3,21,22,Tx0y0;Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,209.0,23
25,36,15,2,Tx3y1;Tx1y3,25,Tx3y1;Tx1y3,21,23,Tx0y0;Tx0y3;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,178.0,23
26,37,15,2,Tx3y1;Tx1y3,26,Tx3y1;Tx1y3,22,24,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,164.0,23
27,42,18,2,Tx3y1;Tx1y3,27,Tx3y1;Tx1y3,24,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx3y1;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1;Tx4y0,122.0,23
0,0,0,0,,0,,0,0,,599.0,24
1,0,0,0,,1,,0,1,Tx0y4,593.0,24
2,2,1,0,,2,,1,2,Tx0y3;Tx0y4,580.0,24
3,3,2,0,,3,Tx1y3,1,3,Tx0y3;Tx0y4;Tx1y3,569.0,24
4,4,2,1,Tx1y3,4,Tx1y3,2,3,Tx0y3;Tx0y4;Tx1y3,554.0,24
5,7,2,1,Tx1y3,5,Tx1y3,5,4,Tx0y3;Tx2y3;Tx0y4;Tx1y3,526.0,24
6,8,2,1,Tx1y3,6,Tx1y3,6,5,Tx0y3;Tx2y3;Tx0y4;Tx1y2;Tx1y3,499.0,24
7,9,2,1,Tx1y3,7,Tx1y3,7,6,Tx0y3;Tx2y3;Tx2y2;Tx0y4;Tx1y2;Tx1y3,486.0,24
8,10,3,1,Tx1y3,8,Tx1y3,7,7,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx0y4;Tx1y3;Tx1y1,471.0,24
9,13,4,1,Tx1y3,9,Tx1y3,9,8,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx0y4;Tx1y3;Tx1y1,445.0,24
10,16,6,1,Tx1y3,10,Tx1y3,10,9,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx1y3;Tx1y1,421.0,24
11,17,6,1,Tx1y3,11,Tx1y3,11,10,Tx0y3;Tx2y3;Tx2y2;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx1y3;Tx1y1,406.0,24
12,21,8,1,Tx1y3,12,Tx1y3,13,11,Tx0y3;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx0y4;Tx1y3;Tx1y1;Tx3y4,372.0,24
13,23,9,1,Tx1y3,13,Tx1y3,14,12,Tx0y3;Tx2y1;Tx2y3;Tx2y2;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx3y4;Tx0y4;Tx1y3;Tx1y1,358.0,24
14,24,9,1,Tx1y3,14,Tx1y3;Tx3y1,15,13,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,345.0,24
15,25,9,2,Tx3y1;Tx1y3,15,Tx3y1;Tx1y3,16,13,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx2y4;Tx2y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,330.0,24
16,25,9,2,Tx3y1;Tx1y3,16,Tx3y1;Tx1y3,16,14,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx3y4;Tx0y4;Tx1y3;Tx1y1,322.0,24
17,26,9,2,Tx3y1;Tx1y3,17,Tx3y1;Tx1y3,17,15,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx3y4;Tx0y4;Tx4y1;Tx1y3;Tx1y1,311.0,24
18,26,9,2,Tx3y1;Tx1y3,18,Tx3y1;Tx1y3,17,16,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx3y4;Tx0y4;Tx4y1;Tx1y3;Tx1y1;Tx4y0,301.0,24
19,27,9,2,Tx3y1;Tx1y3,19,Tx3y1;Tx1y3,18,17,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1;Tx4y0,289.0,24
20,28,10,2,Tx3y1;Tx1y3,20,Tx3y1;Tx1y3,18,18,Tx0y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1;Tx4y0,270.0,24
21,30,11,2,Tx3y1;Tx1y3,21,Tx3y1;Tx1y3,19,19,Tx0y3;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx1y3;Tx1y1;Tx4y0,242.0,24
22,30,11,2,Tx3y1;Tx1y3,22,Tx3y1;Tx1y3,19,20,Tx0y3;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1;Tx4y0,232.0,24
23,33,12,2,Tx3y1;Tx1y3,23,Tx3y1;Tx1y3,21,21,Tx0y3;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,205.0,24
24,36,13,2,Tx3y1;Tx1y3,24,Tx3y1;Tx1y3,23,22,Tx0y3;Tx0y2;Tx0y1;Tx4y3;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y1;Tx4y2;Tx1y3;Tx1y1,159.0,24
25,38,14,2,Tx3y1;Tx1y3,25,Tx3y1;Tx1y3,24,23,Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,138.0,24
26,42,15,2,Tx3y1;Tx1y3,26,Tx3y1;Tx1y3,27,24,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y4;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx0y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,46.0,24
27,46,17,2,Tx3y1;Tx1y3,27,Tx1y3;Tx3y1,29,25,Tx0y0;Tx0y3;Tx0y2;Tx0y1;Tx4y1;Tx2y3;Tx2y2;Tx3y1;Tx3y2;Tx1y2;Tx4y0;Tx3y3;Tx3y0;Tx2y4;Tx2y1;Tx1y0;Tx3y4;Tx0y4;Tx4y4;Tx2y0;Tx4y3;Tx4y2;Tx1y3;Tx1y4;Tx1y1,1.0,24
